SALES_TRN_REF,SALES_TRN_PRD_CODE,SALES_TRN_AMT,SALES_TRN_DATE,EMP_ID,SALES_POINT
TRN_1000001,PRD_01,132000,1/1/2022,EMP_01,STORE
TRN_1000002,PRD_02,198000,1/1/2022,EMP_01,CABIN
TRN_1000003,PRD_03,264000,1/1/2022,EMP_01,STORE
TRN_1000004,PRD_04,66000,1/1/2022,EMP_01,CABIN
TRN_1000005,PRD_05,132000,1/1/2022,EMP_01,STORE
TRN_1000006,PRD_06,12600,1/1/2022,EMP_01,CABIN
TRN_1000007,PRD_08,26400,1/1/2022,EMP_12,CABIN
TRN_1000008,PRD_14,2520,1/1/2022,EMP_22,STORE
TRN_1000009,PRD_15,19800,1/1/2022,EMP_22,CABIN
TRN_1000010,PRD_13,6600,1/1/2022,EMP_21,STORE
TRN_1000011,PRD_14,2520,1/1/2022,EMP_21,CABIN
TRN_1000012,PRD_15,19800,1/1/2022,EMP_21,STORE
TRN_1000013,PRD_01,132000,1/1/2022,EMP_22,CABIN
TRN_1000014,PRD_02,198000,1/1/2022,EMP_22,STORE
TRN_1000015,PRD_03,264000,1/1/2022,EMP_22,CABIN
TRN_1000016,PRD_05,132000,1/1/2022,EMP_33,CABIN
TRN_1000017,PRD_11,3780,1/1/2022,EMP_03,CABIN
TRN_1000018,PRD_08,26400,1/1/2022,EMP_11,CABIN
TRN_1000019,PRD_09,33000,1/1/2022,EMP_11,STORE
TRN_1000020,PRD_10,6600,1/1/2022,EMP_11,CABIN
TRN_1000021,PRD_11,3780,1/1/2022,EMP_11,STORE
TRN_1000022,PRD_12,3780,1/1/2022,EMP_11,CABIN
TRN_1000023,PRD_14,2520,1/1/2022,EMP_22,CABIN
TRN_1000024,PRD_05,132000,1/1/2022,EMP_33,STORE
TRN_1000025,PRD_06,12600,1/1/2022,EMP_33,CABIN
TRN_1000026,PRD_04,66000,1/1/2022,EMP_32,STORE
TRN_1000027,PRD_09,33000,1/1/2022,EMP_12,CABIN
TRN_1000028,PRD_11,3780,1/1/2022,EMP_23,CABIN
TRN_1000029,PRD_02,198000,1/1/2022,EMP_01,CABIN
TRN_1000030,PRD_04,66000,1/1/2022,EMP_12,CABIN
TRN_1000031,PRD_01,132000,1/1/2022,EMP_33,STORE
TRN_1000032,PRD_02,198000,1/1/2022,EMP_33,CABIN
TRN_1000033,PRD_03,264000,1/1/2022,EMP_33,STORE
TRN_1000034,PRD_04,66000,1/1/2022,EMP_33,CABIN
TRN_1000035,PRD_05,132000,1/1/2022,EMP_33,STORE
TRN_1000036,PRD_06,12600,1/1/2022,EMP_33,CABIN
TRN_1000037,PRD_13,6600,1/1/2022,EMP_21,STORE
TRN_1000038,PRD_14,2520,1/1/2022,EMP_21,CABIN
TRN_1000039,PRD_11,3780,1/1/2022,EMP_22,CABIN
TRN_1000040,PRD_03,264000,1/1/2022,EMP_23,STORE
TRN_1000041,PRD_04,66000,1/1/2022,EMP_23,CABIN
TRN_1000042,PRD_05,132000,1/1/2022,EMP_23,STORE
TRN_1000043,PRD_06,12600,1/1/2022,EMP_23,CABIN
TRN_1000044,PRD_07,18900,1/1/2022,EMP_23,STORE
TRN_1000045,PRD_08,26400,1/1/2022,EMP_23,CABIN
TRN_1000046,PRD_10,6600,1/1/2022,EMP_01,STORE
TRN_1000047,PRD_01,132000,1/1/2022,EMP_12,CABIN
TRN_1000048,PRD_14,2520,1/1/2022,EMP_03,STORE
TRN_1000049,PRD_15,19800,1/1/2022,EMP_03,CABIN
TRN_1000050,PRD_08,26400,1/1/2022,EMP_33,CABIN
TRN_1000051,PRD_09,33000,1/1/2022,EMP_33,STORE
TRN_1000052,PRD_10,6600,1/1/2022,EMP_33,CABIN
TRN_1000053,PRD_11,3780,1/1/2022,EMP_33,STORE
TRN_1000054,PRD_12,3780,1/1/2022,EMP_33,CABIN
TRN_1000055,PRD_04,66000,1/1/2022,EMP_22,STORE
TRN_1000056,PRD_05,132000,1/1/2022,EMP_22,CABIN
TRN_1000057,PRD_02,198000,1/1/2022,EMP_23,CABIN
TRN_1000058,PRD_03,264000,1/1/2022,EMP_23,STORE
TRN_1000059,PRD_04,66000,1/1/2022,EMP_23,CABIN
TRN_1000060,PRD_05,132000,1/1/2022,EMP_23,STORE
TRN_1000061,PRD_06,12600,1/1/2022,EMP_23,CABIN
TRN_1000062,PRD_08,26400,1/1/2022,EMP_01,STORE
TRN_1000063,PRD_14,2520,1/1/2022,EMP_11,CABIN
TRN_1000064,PRD_12,3780,1/1/2022,EMP_03,STORE
TRN_1000065,PRD_02,198000,1/1/2022,EMP_31,STORE
TRN_1000066,PRD_03,264000,1/1/2022,EMP_31,CABIN
TRN_1000067,PRD_05,132000,1/1/2022,EMP_02,STORE
TRN_1000068,PRD_11,3780,1/1/2022,EMP_12,CABIN
TRN_1000069,PRD_09,33000,1/1/2022,EMP_11,STORE
TRN_1000070,PRD_10,6600,1/1/2022,EMP_11,CABIN
TRN_1000071,PRD_11,3780,1/1/2022,EMP_11,STORE
TRN_1000072,PRD_12,3780,1/1/2022,EMP_11,CABIN
TRN_1000073,PRD_13,6600,1/1/2022,EMP_11,STORE
TRN_1000074,PRD_14,2520,1/1/2022,EMP_11,CABIN
TRN_1000075,PRD_01,132000,1/1/2022,EMP_23,CABIN
TRN_1000076,PRD_07,18900,1/1/2022,EMP_33,STORE
TRN_1000077,PRD_08,26400,1/1/2022,EMP_33,CABIN
TRN_1000078,PRD_08,26400,1/1/2022,EMP_23,CABIN
TRN_1000079,PRD_02,198000,1/2/2022,EMP_01,STORE
TRN_1000080,PRD_03,264000,1/2/2022,EMP_01,CABIN
TRN_1000081,PRD_04,66000,1/2/2022,EMP_01,STORE
TRN_1000082,PRD_05,132000,1/2/2022,EMP_01,CABIN
TRN_1000083,PRD_06,12600,1/2/2022,EMP_01,STORE
TRN_1000084,PRD_07,18900,1/2/2022,EMP_01,CABIN
TRN_1000085,PRD_09,33000,1/2/2022,EMP_12,CABIN
TRN_1000086,PRD_15,19800,1/2/2022,EMP_22,STORE
TRN_1000087,PRD_01,132000,1/2/2022,EMP_23,CABIN
TRN_1000088,PRD_14,2520,1/2/2022,EMP_21,STORE
TRN_1000089,PRD_15,19800,1/2/2022,EMP_21,CABIN
TRN_1000090,PRD_01,132000,1/2/2022,EMP_22,STORE
TRN_1000091,PRD_02,198000,1/2/2022,EMP_22,CABIN
TRN_1000092,PRD_03,264000,1/2/2022,EMP_22,STORE
TRN_1000093,PRD_04,66000,1/2/2022,EMP_22,CABIN
TRN_1000094,PRD_06,12600,1/2/2022,EMP_33,CABIN
TRN_1000095,PRD_12,3780,1/2/2022,EMP_03,CABIN
TRN_1000096,PRD_09,33000,1/2/2022,EMP_11,CABIN
TRN_1000097,PRD_10,6600,1/2/2022,EMP_11,STORE
TRN_1000098,PRD_11,3780,1/2/2022,EMP_11,CABIN
TRN_1000099,PRD_12,3780,1/2/2022,EMP_11,STORE
TRN_1000100,PRD_13,6600,1/2/2022,EMP_11,CABIN
TRN_1000101,PRD_15,19800,1/2/2022,EMP_22,CABIN
TRN_1000102,PRD_06,12600,1/2/2022,EMP_33,STORE
TRN_1000103,PRD_07,18900,1/2/2022,EMP_33,CABIN
TRN_1000104,PRD_05,132000,1/2/2022,EMP_32,STORE
TRN_1000105,PRD_10,6600,1/2/2022,EMP_12,CABIN
TRN_1000106,PRD_12,3780,1/2/2022,EMP_23,CABIN
TRN_1000107,PRD_03,264000,1/2/2022,EMP_01,CABIN
TRN_1000108,PRD_05,132000,1/2/2022,EMP_12,CABIN
TRN_1000109,PRD_02,198000,1/2/2022,EMP_33,STORE
TRN_1000110,PRD_03,264000,1/2/2022,EMP_33,CABIN
TRN_1000111,PRD_04,66000,1/2/2022,EMP_33,STORE
TRN_1000112,PRD_05,132000,1/2/2022,EMP_33,CABIN
TRN_1000113,PRD_06,12600,1/2/2022,EMP_33,STORE
TRN_1000114,PRD_07,18900,1/2/2022,EMP_33,CABIN
TRN_1000115,PRD_14,2520,1/2/2022,EMP_21,STORE
TRN_1000116,PRD_15,19800,1/2/2022,EMP_21,CABIN
TRN_1000117,PRD_12,3780,1/2/2022,EMP_22,CABIN
